Name,AthleteUrl,Gender,Height,Active,Participations,Age,Country
Dillon COUNTRYMAN,https://ifsc.results.info/#/athlete/13029,Men,164,2021,19,17,USA
Colin DUFFY,https://ifsc.results.info/#/athlete/1929,Men,170,2017,44,20,USA
Zach GALLA,https://ifsc.results.info/#/athlete/1926,Men,168,2017,42,23,USA
Sean BAILEY,https://ifsc.results.info/#/athlete/1741,Men,163,2011,90,27,USA
Jesse GRUPPER,https://ifsc.results.info/#/athlete/1749,Men,180,2012,39,27,USA
Emily SCOTT,https://ifsc.results.info/#/athlete/13510,Women,-,2022,10,17,AUS
Maya STASIUK,https://ifsc.results.info/#/athlete/13857,Women,-,2022,10,16,AUS
Oceania MACKENZIE,https://ifsc.results.info/#/athlete/2501,Women,173,2016,60,21,AUS
Jessica PILZ,https://ifsc.results.info/#/athlete/1226,Women,165,2010,163,27,AUT
Johanna FÄRBER,https://ifsc.results.info/#/athlete/1243,Women,171,2012,77,25,AUT
Franziska STERRER,https://ifsc.results.info/#/athlete/1240,Women,169,2012,101,25,AUT
Chloe CAULIER,https://ifsc.results.info/#/athlete/316,Women,166,2010,142,27,BEL
Anja KÖHLER,https://ifsc.results.info/#/athlete/3204,Women,-,2018,59,20,BRA
Bianca DE MAGALHAES DE CASTRO,https://ifsc.results.info/#/athlete/11614,Women,164,2019,29,35,BRA
Aleksandra TOTKOVA,https://ifsc.results.info/#/athlete/11464,Women,162,2019,63,18,BUL
Madison FISCHER,https://ifsc.results.info/#/athlete/1629,Women,-,2016,22,22,CAN
Indiana CHAPMAN,https://ifsc.results.info/#/athlete/1650,Women,158,2017,31,20,CAN
Alannah YIP,https://ifsc.results.info/#/athlete/1565,Women,164,2007,106,30,CAN
Babette ROY,https://ifsc.results.info/#/athlete/1649,Women,-,2017,32,21,CAN
Yuetong ZHANG,https://ifsc.results.info/#/athlete/3009,Women,160,2018,49,20,CHN
Hongchun XIANG,https://ifsc.results.info/#/athlete/7164,Women,-,2018,18,25,CHN
Zhilu LUO,https://ifsc.results.info/#/athlete/13596,Women,160,2022,25,18,CHN
Michaela SMETANOVA,https://ifsc.results.info/#/athlete/1438,Women,165,2017,77,20,CZE
Eliska ADAMOVSKA,https://ifsc.results.info/#/athlete/1400,Women,162,2015,80,22,CZE
Laura LOIKAS,https://ifsc.results.info/#/athlete/2811,Women,-,2017,19,21,FIN
Zélia AVEZOU,https://ifsc.results.info/#/athlete/620,Women,158,2018,33,19,FRA
Oriane BERTONE,https://ifsc.results.info/#/athlete/11462,Women,164,2019,38,18,FRA
